YEAR,STRATUM,AOU,SPECIES,POP,SEPOP
2007,1,1320,Mallard,5999.4006852815,2084.79825801207
2007,1,1350,Gadwall,0,0
2007,1,1370,American wigeon,2862.45915049379,1792.6217746139
2007,1,1390,Green-winged teal,17907.4548185882,10240.3295270189
2007,1,1400,Blue-winged teal,0,0
2007,1,1420,Northern shoveler,1876.56323956051,1377.97260005337
2007,1,1430,Northern pintail,2812.0440186847,2396.25787102609
2007,1,1460,Redhead,0,0
2007,1,1470,Canvasback,3266.90054122892,3564.34841960579
2007,1,1499,Generic scaup,13865.2815837617,8159.8597805127
2007,1,1500,Ring-necked duck,2702.25106496713,1382.39369880758
2007,1,1519,Generic goldeneye,2426.64834441078,1908.82073226884
2007,1,1530,Bufflehead,1250.29526886539,427.608087868568
2007,1,1670,Ruddy duck,0,0
2007,1,1720,Canada goose,0,0
2007,1,2210,American coot,0,0
2007,2,1320,Mallard,11902.152244663,3370.45255349826
2007,2,1350,Gadwall,0,0
2007,2,1370,American wigeon,14934.5187638343,4806.92724346075
2007,2,1390,Green-winged teal,6728.48942784618,3641.24844482134
2007,2,1400,Blue-winged teal,0,0
2007,2,1420,Northern shoveler,4569.00802363879,1778.04020831664
2007,2,1430,Northern pintail,7036.87852662246,4601.08641640287
2007,2,1460,Redhead,235.648672529297,222.738431130786
2007,2,1470,Canvasback,0,0
2007,2,1499,Generic scaup,31855.7604195393,7141.25057914966
2007,2,1500,Ring-necked duck,3655.20641891103,2234.01558163539
2007,2,1519,Generic goldeneye,0,0
2007,2,1530,Bufflehead,6482.9904892626,2772.54752112425
2007,2,1670,Ruddy duck,0,0
2007,2,1720,Canada goose,1094.89495757182,1126.71233683723
2007,2,2210,American coot,0,0
2007,3,1320,Mallard,61111.1994227031,20624.2271227747
2007,3,1350,Gadwall,1720.28655920566,1667.88161200173
2007,3,1370,American wigeon,110502.946660818,33929.4693581894
2007,3,1390,Green-winged teal,118088.618149683,32616.7673433201
2007,3,1400,Blue-winged teal,2917.13066207407,3009.33423991976
2007,3,1420,Northern shoveler,52369.0030472003,21088.8946144078
2007,3,1430,Northern pintail,33201.1061798668,9619.21711008182
2007,3,1460,Redhead,0,0
2007,3,1470,Canvasback,14094.7491688865,8621.75794704126
2007,3,1499,Generic scaup,75183.3132421264,33232.8361255095
